ID,Amount,Description,Date,Remark
zopk,66,H,2021-07-06,Data not found in Source (Only occured in Proxy)
zosj,56,I,2021-08-01,Data not found in Source (Only occured in Proxy)
zovi,73,J,2021-07-10,Data not found in Source (Only occured in Proxy)
zoUr,24,A,2021-06-30,Data not found in Source (Only occured in Proxy)
zoap,69,C,2021-07-01,Data not found in Source (Only occured in Proxy)
zodo,30,D,2021-07-03,Data not found in Source (Only occured in Proxy)
zoml,65,G,2021-07-31,Data not found in Source (Only occured in Proxy)
zoXq,11,B,2021-06-30,Data not found in Source (Only occured in Proxy)
zogn,86,E,2021-07-04,Data not found in Source (Only occured in Proxy)
zojm,77,F,2021-07-07,Data not found in Source (Only occured in Proxy)
